name,market,sector,ann_return,ann_risk,sharpe,data_points
NVIDIA,US,Semiconductors,82.63,54.58,1.4223,1260
TESLA,US,Automotive,73.38,67.51,1.0129,1260
TSMC,Asia,Semiconductors,46.89,47.01,0.8911,1260
GOOGLE,US,Technology,36.24,37.95,0.8231,1260
APPLE,US,Technology,30.27,31.67,0.7979,1260
ASML,Europe,Semiconductors,40.13,48.32,0.727,1285
SBIN,India,Finance,30.41,35.2,0.722,1239
MICROSOFT,US,Technology,22.86,31.2,0.5723,1260
META,US,Technology,30.62,45.13,0.5678,1260
BERKSHIRE,US,Finance,17.13,21.83,0.5556,1260
SONY,Asia,Consumer,22.31,31.26,0.5537,1226
ICICIBANK,India,Finance,22.42,31.84,0.5471,1239
AMAZON,US,Consumer,22.42,36.2,0.4812,1260
INFY,India,IT,19.91,31.48,0.4735,1239
SAMSUNG,Asia,Technology,55.59,111.35,0.4543,1233
RELIANCE,India,Energy,18.62,30.16,0.4517,1239
BAJFINANCE,India,Finance,21.75,38.91,0.4305,1239
ITC,India,FMCG,15.54,30.04,0.351,1239
SAP,Europe,Technology,11.4,31.66,0.2021,1278
TCS,India,IT,10.82,30.48,0.1911,1239
LVMH,Europe,Luxury,9.37,31.83,0.1372,1285
ASIANPAINT,India,Materials,8.35,26.22,0.1276,1239
HDFCBANK,India,Finance,8.42,28.27,0.1209,1239
HINDUNILVR,India,FMCG,6.35,24.48,0.055,1239
ALIBABA,Asia,Consumer,2.15,53.78,-0.0531,1232
NESTLE,Europe,FMCG,-1.25,17.29,-0.3617,1264
