name,symbol,market,sector,currency,price,prev_close,change,change_pct,timestamp
RELIANCE,RELIANCE.NS,India,Energy,INR,1350.5,1369.2,-18.7,-1.37,2026-04-05 17:28:06
TCS,TCS.NS,India,IT,INR,2450.7,2408.2,42.5,1.76,2026-04-05 17:28:07
HDFCBANK,HDFCBANK.NS,India,Finance,INR,750.9,742.25,8.65,1.17,2026-04-05 17:28:08
INFY,INFY.NS,India,IT,INR,1300.8,1275.7,25.1,1.97,2026-04-05 17:28:09
ICICIBANK,ICICIBANK.NS,India,Finance,INR,1215.8,1212.7,3.1,0.26,2026-04-05 17:28:10
HINDUNILVR,HINDUNILVR.NS,India,FMCG,INR,2065.3,2064.7,0.6,0.03,2026-04-05 17:28:11
ITC,ITC.NS,India,FMCG,INR,292.85,291.7,1.15,0.39,2026-04-05 17:28:12
SBIN,SBIN.NS,India,Finance,INR,1018.4,1017.8,0.6,0.06,2026-04-05 17:28:13
BAJFINANCE,BAJFINANCE.NS,India,Finance,INR,826.85,817.3,9.55,1.17,2026-04-05 17:28:13
ASIANPAINT,ASIANPAINT.NS,India,Materials,INR,2169.0,2225.8,-56.8,-2.55,2026-04-05 17:28:14
APPLE,AAPL,US,Technology,USD,255.92,255.63,0.29,0.11,2026-04-05 17:28:15
MICROSOFT,MSFT,US,Technology,USD,373.46,369.37,4.09,1.11,2026-04-05 17:28:16
GOOGLE,GOOGL,US,Technology,USD,295.77,297.39,-1.62,-0.54,2026-04-05 17:28:17
AMAZON,AMZN,US,Consumer,USD,209.77,210.57,-0.8,-0.38,2026-04-05 17:28:18
NVIDIA,NVDA,US,Semiconductors,USD,177.39,175.75,1.64,0.93,2026-04-05 17:28:19
TESLA,TSLA,US,Automotive,USD,360.59,381.26,-20.67,-5.42,2026-04-05 17:28:20
META,META,US,Technology,USD,574.46,579.23,-4.77,-0.82,2026-04-05 17:28:21
BERKSHIRE,BRK-B,US,Finance,USD,477.35,478.5,-1.15,-0.24,2026-04-05 17:28:22
NESTLE,NESN.SW,Europe,FMCG,CHF,78.37,78.39,-0.02,-0.03,2026-04-05 17:28:23
LVMH,MC.PA,Europe,Luxury,EUR,471.05,471.1,-0.05,-0.01,2026-04-05 17:28:24
ASML,ASML.AS,Europe,Semiconductors,EUR,1161.0,1187.6,-26.6,-2.24,2026-04-05 17:28:25
SAP,SAP.DE,Europe,Technology,EUR,148.9,148.86,0.04,0.03,2026-04-05 17:28:26
SAMSUNG,005930.KS,Asia,Technology,KRW,186200.0,178400.0,7800.0,4.37,2026-04-05 17:28:27
ALIBABA,9988.HK,Asia,Consumer,HKD,118.5,122.7,-4.2,-3.42,2026-04-05 17:28:27
SONY,6758.T,Asia,Consumer,JPY,3324.0,3329.0,-5.0,-0.15,2026-04-05 17:28:28
TSMC,TSM,Asia,Semiconductors,USD,339.04,341.49,-2.45,-0.72,2026-04-05 17:28:29
